County,State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Pickett,TN,2.762885633,2.219833874,1.433202821,2.211355491,1.428451623,1.514806685,1.521347615,7.125147413,1.557142193,1.536860717,1.478435177,1.522462788,1.758842698,1.738442646,1.408883238,1.711357598,1.49631197,1.660291754,10.39449026,1.64295354,1.539782331,1.95028131,1.853723437,2.298512281,2.039600712,1.866398941,1.615589793,1.751060548,1.576311464,1.394940591,1.381627256,1.650399807
Putnam,TN,10.20695985,8.176276384,2.477435085,29.03573723,2.051087399,2.990103631,4.244422091,15.0466494,2.876928158,3.348071122,2.347673809,2.500251369,6.408866892,3.326676026,2.233408234,3.914105831,2.560347382,2.892230189,8.874624433,2.968942687,2.993404201,3.365354619,4.773609042,4.898290484,4.201115192,4.728120857,4.715382419,6.482800516,4.860610398,3.065993992,2.44496413,3.471002122
Roane,TN,7.732469683,31.80321377,5.319104041,5.360502203,5.336235874,7.423752436,4.057321528,4.415311566,4.077598595,5.016991786,8.709570375,6.480646773,3.96303563,4.068401993,4.603002929,4.80021948,4.814499393,5.325121492,5.619223921,5.279509474,5.287439471,5.037309309,5.00007819,7.746408741,5.004247286,5.296864892,5.209415953,5.649484202,4.319553614,4.384799817,3.80499068,3.873883728
Scott,TN,15.44210678,19.27012624,5.784051994,5.57024115,3.475100978,4.589962042,2.885200486,2.972332076,2.300990683,1.635404908,1.53839544,1.697359327,1.595510322,1.913476935,2.089462893,2.127113951,2.559344859,2.988453447,4.771986833,2.912496314,3.030863915,5.264207159,4.335958068,5.603826582,4.119925998,3.914028121,3.853005267,3.078784728,3.003673717,1.913724485,1.898268037,2.035564371
Buchanan,VA,5.286452809,3.139321585,2.776742476,3.010649317,3.426774504,10.1326469,3.39052539,4.791917292,3.389405974,2.818731212,11.63884756,3.400072247,2.954839013,2.690555519,3.430302855,5.251827826,5.437168121,4.524735496,7.69207708,5.129806817,6.411734913,7.515093963,7.694713042,11.06553885,10.4527383,14.03675745,9.552167577,9.488392095,8.12089083,8.185743126,7.8553485,8.170469478
Dickenson,VA,2.531096027,1.648989498,1.699086692,1.704963311,2.472091068,3.116250739,2.181534754,3.501763724,3.495639581,2.572271825,4.899211837,2.976267155,3.310685266,1.56080484,2.223550941,4.81480415,4.561658246,1.390584646,6.296302396,1.132553234,1.264240975,1.539642494,1.911711506,3.577772778,3.662022091,4.462055389,3.265518817,3.937977912,3.728311835,3.290866911,2.8553986,3.366600532
Lee,VA,2.173615426,8.198168094,0.495434604,0.73836231,0.681935299,4.419797764,0.825559183,0.968453182,0.794851835,0.738319294,0.958254682,1.56536056,1.437935566,1.828205045,2.38387427,1.179669712,0.894607874,1.110464332,1.410144541,1.375627298,1.913725392,2.319493404,2.342551367,3.316288077,3.195838295,2.741557659,2.092550763,2.072796576,2.342359044,1.687346923,1.717609572,1.723361075
Russell,VA,6.321890307,3.054660246,2.08511643,1.877402293,2.465170843,7.537917816,2.532080811,28.35726078,4.710405446,3.219404722,9.565343654,3.403317268,3.338549842,2.945331131,2.722965271,6.741560333,6.322219443,2.583994546,19.91700924,2.838143312,2.606755201,2.989809123,3.495300378,8.965599041,4.651020467,5.289149658,3.150145347,3.082555593,2.505053285,2.027353964,2.084604542,2.276150431
Scott,VA,3.485787085,1.273399312,0.462845697,0.789719195,1.489683448,14.0275923,1.567135273,1.855247463,3.898287721,0.960667584,1.497472606,1.885517945,0.592638444,0.680148958,1.00565468,1.162790382,1.912643418,1.515243674,1.895357253,1.57357624,1.209710655,1.329226527,1.638249377,2.235105327,3.088790237,2.09619101,1.250769887,1.088441961,1.455370347,0.821705881,0.934749891,1.064061339
Tazewell,VA,1.332293996,1.380368057,1.005123813,1.352381846,1.441916577,1.590674821,1.444639055,2.15566755,1.804411481,1.73860287,6.494701236,1.505351026,1.430307889,1.544837539,1.493991074,1.609256311,2.290763586,1.663334634,10.2324955,2.288557958,2.654546053,2.8951893,2.756093302,3.88661766,3.114530743,14.59986328,2.703454226,2.917367923,3.385789405,3.167674478,3.348829152,3.488699898
Wise,VA,25.10986999,20.00048032,16.36057618,15.00836686,16.71717265,20.6853365,16.52704608,41.70472631,24.14030669,13.10385996,20.57162327,16.85990236,15.83937736,16.48139413,19.91345932,25.0912823,25.64598801,22.71716944,31.07857659,23.24302069,24.23378914,28.49911724,29.66482835,37.65236922,35.77602405,33.83258501,34.25447257,30.35054854,30.25774728,23.43089253,21.23026984,20.93164995
Norton city,VA,0.02123036,0.02123036,0.019508986,0.019508986,0.021804145,0.019508986,0.022377898,0.026968173,0.029263319,0.019508986,0.093548301,0.036155328,0.010328238,0,0.01549248,0.019508986,0.018361416,0.044186074,0.017213903,0,0.012623507,0.006885518,0.006885518,0.008606873,0,0,0.010328238,0.010328238,0,0.004590384,0,0
Boone,WV,9.236018217,8.020221798,7.188032061,9.222606712,11.33759505,55.2565548,11.61416175,17.23192687,15.49334398,16.35170293,41.08885271,21.86991638,16.88502432,21.51536439,23.77811277,36.63516063,31.80167004,28.77024813,40.84835032,30.14609814,31.23533776,42.50686748,44.09776187,55.50833474,47.54034199,54.63057331,45.23136336,44.79609791,44.82118145,32.5717979,30.29491699,33.95973687
Cabell,WV,0.710644735,0.500541475,0.400497701,0.398842615,0.551531072,7.530549966,0.442309864,0.596186378,0.557141918,0.532652161,0.605482497,0.547907955,0.554312232,0.680101507,0.577769693,0.886175757,0.920702462,0.816758225,1.125357149,0.494612214,0.552635457,0.663491871,0.627718472,0.755106023,0.458739785,0.79654306,0.698883073,0.681928451,0.710246894,0.576342886,0.50953065,0.526583828
Clay,WV,0.677694761,0.672593782,0.524786242,0.589337792,0.879085552,1.453916117,0.761537344,0.671661315,0.691048654,1.130830731,2.010932531,1.878515624,2.858800555,2.70684944,4.088903733,4.822522652,4.177026521,5.002440683,5.086316205,4.613734642,5.715052996,6.286619429,6.446633276,7.996613687,6.956473042,5.92610118,5.180953192,4.663242402,4.500901885,2.626370907,2.563463731,1.659137076
Fayette,WV,8.807597345,8.315993415,5.375443986,6.268614457,7.01657023,6.703386469,7.229720079,8.808088768,8.214527259,8.102938874,8.888548226,7.252338403,6.785782554,7.305493453,8.008240616,8.856334692,6.056873117,7.184236426,7.824818906,6.768671244,6.587589678,8.421063819,9.887409247,11.54350653,11.98797119,11.64734221,11.10839297,14.00389846,14.83929117,10.57572039,10.33671103,8.845783037
Greenbrier,WV,6.086787628,47.83395327,4.505442711,5.64249706,11.9697658,5.31356166,4.311160769,5.623877893,5.188845041,5.312801121,7.399186719,4.20285028,3.994224895,7.821426499,68.34119898,6.458820256,4.574087237,5.861896705,5.966848328,87.52090106,11.8778771,3.847189872,11.99808752,4.946836438,33.39843528,6.966231815,6.205523569,6.326203463,9.690662568,13.8689112,7.362931317,5.242847631
Kanawha,WV,7.742922177,8.213764124,7.714557785,9.483100289,11.40588743,104.5151983,11.26370271,13.17833471,11.74320651,10.41214317,11.89560164,9.430239628,7.245857112,9.314102758,8.593223733,10.11590083,9.668997744,9.530339828,12.21478568,10.48542347,10.85958677,12.40684549,13.17169475,15.29710294,14.75473674,16.1097082,13.00133399,13.01509451,14.43838867,11.65073287,11.44360797,12.56985819
Lincoln,WV,0.298229781,0.085976919,0.07387866,0.03878542,0.469507613,141.0839052,0.422292193,0.776241977,0.42031855,0.573366505,1.438995798,0.880780286,0.168162218,0.496437724,1.06601834,2.960741452,4.363641744,4.821747257,7.467721353,5.454701,5.996812589,7.151356472,7.66863942,9.719585622,10.48903622,11.43995416,10.76252275,10.66622091,11.44501001,8.475549231,7.875805369,8.712068807
Logan,WV,6.765304223,4.77199792,5.567722327,7.596149776,10.2638907,66.54639685,14.78033336,23.48293734,16.79979054,18.23187019,36.24811063,25.2762955,19.8985748,21.74334165,22.62537709,31.02797013,25.73556661,20.80402182,25.99576693,17.93037039,18.6593545,25.50501187,25.30628141,32.92242964,30.96665697,36.04954707,28.11587819,26.35314922,25.31075481,20.05129515,18.61076929,20.53491804
Mason,WV,7.589258127,3.179258196,3.480373272,4.393843712,6.89831236,6.70484676,5.885996243,9.104808305,4.793881265,4.564678027,4.667113454,4.404841106,3.820256632,3.80272195,5.195776693,4.988619066,5.713930123,4.198846807,8.04476594,4.077128226,3.566117398,5.180855754,4.222267931,4.780452917,3.655562627,7.712944295,4.653069791,3.772016718,4.956197501,3.461601875,3.386700787,3.585198336
McDowell,WV,5.989145911,6.039765324,4.085222587,4.289335621,4.726173906,6.771205562,3.194970388,6.323087333,3.655590848,4.542950267,13.43489943,4.167357079,3.933810694,4.340867468,4.349261808,6.512688927,5.62234165,6.038136492,8.524320209,7.706485326,6.9196796,8.931368973,10.42779098,11.92885705,12.04938056,10.43982565,10.70285319,10.69876854,10.87744054,9.315565297,10.84162292,10.1253976
Mercer,WV,1.935635171,1.874580462,1.710638717,1.862234849,1.938878819,1.570845058,1.623700378,1.550003922,2.013865768,2.47089425,2.595607289,1.623688669,1.788316966,1.471527161,1.768106232,2.255675552,2.12082474,2.000514545,3.045422644,1.813060238,1.678012699,2.284985289,2.089387286,2.791377178,2.457837031,1.726569915,2.344925899,2.440095727,2.32009884,1.867519571,2.302706864,2.14731577
Mingo,WV,5.678480113,4.882544897,5.328413322,6.238706726,10.11730821,70.32089823,14.40938167,26.04029965,17.95544204,18.50153539,24.06563821,17.54922106,11.82471447,13.85465735,15.07250411,23.13690033,19.31615239,18.06129782,24.06812954,15.62057882,14.93282151,22.0077831,22.66050079,30.68029847,27.27543224,31.22919052,26.60354954,23.89789401,24.23251365,17.57038347,15.33213276,14.37132485
Nicholas,WV,5.342397346,5.678720722,6.392098236,8.844485871,12.56600921,11.96731351,11.52054406,12.24939241,11.25523324,10.80782133,10.9597229,8.318870453,8.613409706,9.877296434,22.85094456,12.11771449,12.62758449,17.00521864,17.25695705,21.30114479,16.66157709,19.87519482,21.27339921,24.88930175,28.72442763,24.34901078,20.69543977,19.24154142,19.15660998,17.44013631,13.9492549,10.97116168
