FID_,X,Y,ID,trueMining,NDVI,SAVI,EVI,year,sensor
,-82.5622851,37.78209118,1,0,0.8336,0.6252,1.0035,2014,8
,-82.57664288,37.66172691,2,0,0.8239,0.6174,0.9508,2014,8
,-82.65014338,37.74760675,3,0,0.7583,0.5292,0.8259,2014,8
,-82.60312498,37.77435654,4,0,0.8351,0.6571,1.0612,2014,8
,-82.5939431,37.73876387,5,0,0.683,0.4344,0.6475,2014,8
,-82.56229087,37.66480592,6,0,0.8188,0.6265,1.0174,2014,8
,-82.50498514,37.80719187,7,0,0.7737,0.5543,0.8268,2014,8
,-82.47907781,37.73994491,8,0,0.7299,0.5165,0.793,2014,8
,-82.50481103,37.78779958,9,0,0.8207,0.5951,0.9107,2014,8
,-82.50760102,37.69712426,10,0,0.8362,0.6543,1.0639,2014,8
,-82.60432379,37.70206133,11,0,0.6501,0.4661,0.7143,2014,8
,-82.61846193,37.75166738,12,0,0.6974,0.499,0.7665,2014,8
,-82.58449583,37.67538627,13,0,0.8262,0.6293,1.0308,2014,8
,-82.58270211,37.7075481,14,0,0.818,0.5683,0.8719,2014,8
,-82.5915825,37.74911733,15,0,0.8141,0.6351,1.0446,2014,8
,-82.52040958,37.78772099,16,0,0.6066,0.4379,0.8029,2014,8
,-82.50215775,37.69724756,17,0,0.8264,0.5642,0.8627,2014,8
,-82.64665076,37.73370729,18,0,0.7841,0.5551,0.8761,2014,8
,-82.46401988,37.73997704,19,0,0.8067,0.6529,1.0932,2014,8
,-82.54472719,37.76745282,20,0,0.8498,0.7197,1.2257,2014,8
,-82.54092663,37.81621471,21,0,0.7855,0.6041,0.9435,2014,8
,-82.61530202,37.79645882,22,0,0.6652,0.4457,0.6746,2014,8
,-82.63017692,37.71973486,23,0,0.7827,0.5275,0.8088,2014,8
,-82.62232245,37.72621877,24,0,0.8095,0.6765,1.1645,2014,8
,-82.5917593,37.75576442,25,0,0.8161,0.6061,0.9244,2014,8
,-82.51231291,37.77472823,26,0,0.8624,0.7637,1.2888,2014,8
,-82.52053831,37.70801683,27,0,0.7738,0.5201,0.7763,2014,8
,-82.50553563,37.71931598,28,0,0.8329,0.6895,1.1412,2014,8
,-82.52934593,37.81183749,29,0,0.7703,0.5599,0.8465,2014,8
,-82.56561559,37.67511101,30,0,0.8422,0.7333,1.1967,2014,8
,-82.50798678,37.69621439,31,0,0.8328,0.6522,1.0616,2014,8
,-82.48373603,37.76264771,32,1,0.4703,0.2608,0.3961,2014,8
,-82.5582364,37.8149669,33,0,0.7931,0.6947,1.1734,2014,8
,-82.5847274,37.72321181,34,0,0.8067,0.5803,0.94,2014,8
,-82.58446697,37.71136501,35,0,0.8221,0.6074,0.9412,2014,8
,-82.57978495,37.74506624,36,0,0.818,0.6349,1.0346,2014,8
,-82.47127256,37.71530342,37,0,0.6935,0.4536,0.6854,2014,8
,-82.5848764,37.70861133,38,0,0.8334,0.6085,0.9385,2014,8
,-82.53852542,37.75040326,39,0,0.8341,0.6067,0.9354,2014,8
,-82.50519772,37.69434725,40,0,0.83,0.6114,0.9344,2014,8
,-82.48289895,37.79321329,41,0,0.8366,0.6815,1.1559,2014,8
,-82.64031578,37.74074172,42,0,0.7334,0.507,0.789,2014,8
,-82.53407747,37.68706886,43,0,0.8136,0.5938,0.8994,2014,8
,-82.56828441,37.69060717,44,0,0.8404,0.613,0.9437,2014,8
,-82.56475359,37.79867317,45,0,0.8392,0.6179,0.9535,2014,8
,-82.65394018,37.71361183,46,0,0.844,0.7,1.1452,2014,8
,-82.51674396,37.79830144,47,0,0.8244,0.5699,0.8707,2014,8
,-82.54526726,37.73609525,48,0,0.8383,0.6408,0.9897,2014,8
,-82.49510503,37.70710581,49,0,0.7092,0.4911,0.7567,2014,8
,-82.6132311,37.72574883,50,1,0.3632,0.2858,0.5764,2014,8
,-82.62866455,37.78746958,51,0,0.7813,0.5715,0.8636,2014,8
,-82.53342373,37.73869057,52,0,0.7209,0.5414,0.8547,2014,8
,-82.62343075,37.757313,53,0,0.8441,0.6959,1.1324,2014,8
,-82.65134263,37.76281601,54,0,0.7202,0.4929,0.7618,2014,8
,-82.55037457,37.72918854,55,0,0.7185,0.5623,0.9389,2014,8
,-82.55181363,37.68130756,56,0,0.8359,0.6064,0.9268,2014,8
,-82.57087757,37.69257068,57,0,0.8363,0.6655,1.0814,2014,8
,-82.59903074,37.77693048,58,0,0.7332,0.5322,0.825,2014,8
,-82.55670178,37.76249289,59,0,0.7283,0.4856,0.7147,2014,8
,-82.53852299,37.78602585,60,0,0.6651,0.4267,0.617,2014,8
,-82.63739274,37.76472479,61,0,0.6081,0.442,0.7415,2014,8
,-82.58965104,37.80209604,62,0,0.8389,0.6256,0.9642,2014,8
,-82.62683434,37.77299568,63,0,0.8316,0.5881,0.9031,2014,8
,-82.54608774,37.67507442,64,0,0.8157,0.583,0.8952,2014,8
,-82.49338687,37.74384626,65,0,0.8322,0.5952,0.9113,2014,8
,-82.53331017,37.69691045,66,0,0.8222,0.5931,0.9064,2014,8
,-82.61701834,37.77958193,67,0,0.7846,0.5243,0.8289,2014,8
,-82.53767504,37.75512023,68,0,0.8281,0.661,1.1241,2014,8
,-82.60956298,37.67206682,69,0,0.6844,0.4539,0.7141,2014,8
,-82.52507242,37.79975717,70,0,0.7683,0.5283,0.811,2014,8
,-82.52198045,37.80379245,71,0,0.7492,0.4914,0.7526,2014,8
,-82.51887547,37.72586832,72,0,0.8083,0.53,0.8112,2014,8
,-82.57182402,37.73600979,73,0,0.8264,0.5991,0.918,2014,8
,-82.50598419,37.78654112,74,0,0.8436,0.6893,1.1287,2014,8
,-82.50760475,37.67985249,75,0,0.8391,0.6863,1.1281,2014,8
,-82.48522463,37.71172606,76,0,0.8432,0.6335,0.9734,2014,8
,-82.63848981,37.74299203,77,0,0.5879,0.2743,0.42,2014,8
,-82.52280492,37.78629943,78,0,0.8418,0.6354,0.9788,2014,8
,-82.58413132,37.66314233,79,0,0.8392,0.6244,0.9657,2014,8
,-82.46564427,37.7286121,80,0,0.8007,0.5961,0.9141,2014,8
,-82.56259102,37.81066452,81,0,0.826,0.6749,1.0857,2014,8
,-82.59715752,37.67141306,82,0,0.8324,0.6833,1.1146,2014,8
,-82.56710886,37.8164461,83,0,0.7757,0.6348,1.0154,2014,8
,-82.56085272,37.78903148,84,0,0.6464,0.4808,0.7314,2014,8
,-82.61201966,37.76989261,85,0,0.7629,0.5166,0.7793,2014,8
,-82.61320833,37.68885552,86,0,0.8178,0.5642,0.8633,2014,8
,-82.58014556,37.73892059,87,0,0.5446,0.3591,0.5179,2014,8
,-82.56878033,37.7392575,88,0,0.8092,0.567,0.8667,2014,8
,-82.5807301,37.74738004,89,0,0.826,0.6193,0.9478,2014,8
,-82.51139121,37.69804915,90,0,0.8448,0.6972,1.1402,2014,8
,-82.59315404,37.72547148,91,0,0.819,0.6569,1.0733,2014,8
,-82.57520091,37.71066838,92,0,0.8264,0.6437,1.0434,2014,8
,-82.55858067,37.78250532,93,0,0.8147,0.6659,1.0675,2014,8
,-82.59635538,37.77222458,94,0,0.8149,0.5561,0.8501,2014,8
,-82.51289014,37.69487053,95,0,0.7378,0.5136,0.7572,2014,8
,-82.64748022,37.73795888,96,0,0.7649,0.5162,0.7803,2014,8
,-82.52374674,37.6762917,97,0,0.8175,0.5444,0.8323,2014,8
,-82.56063807,37.79308533,98,0,0.8168,0.628,0.9774,2014,8
,-82.64438485,37.72863008,99,0,0.8045,0.6452,1.0336,2014,8
,-82.48018898,37.77731668,100,0,0.8527,0.7195,1.2158,2014,8
,-82.47658127,37.71660046,101,0,0.7972,0.6112,1.0006,2014,8
,-82.49714464,37.76637285,102,0,0.8239,0.6212,1.0042,2014,8
,-82.49328743,37.72062464,103,0,0.7746,0.5509,0.8328,2014,8
,-82.58565029,37.80314061,104,0,0.7695,0.5501,0.8541,2014,8
,-82.54525017,37.70459291,105,0,0.8119,0.6742,1.1257,2014,8
,-82.61082941,37.70897056,106,0,0.6559,0.4589,0.6572,2014,8
,-82.61264006,37.75107211,107,0,0.5653,0.3826,0.5299,2014,8
,-82.48347444,37.71621684,108,0,0.8446,0.6615,1.0942,2014,8
,-82.58966436,37.75296989,109,0,0.8408,0.6819,1.1148,2014,8
,-82.51840226,37.70921806,110,0,0.7947,0.571,0.8604,2014,8
,-82.64041952,37.76214675,111,0,0.8305,0.6559,1.0677,2014,8
,-82.61482765,37.76217388,112,0,0.6372,0.4156,0.5842,2014,8
,-82.59723289,37.72723916,113,0,0.8575,0.7544,1.2889,2014,8
,-82.53147582,37.68413414,114,0,0.8151,0.6054,0.9833,2014,8
,-82.50453871,37.80233011,115,0,0.8388,0.62,0.9506,2014,8
,-82.58762081,37.71264101,116,0,0.8068,0.6727,1.1113,2014,8
,-82.56313254,37.81484287,117,0,0.8124,0.6582,1.0776,2014,8
,-82.55223264,37.75061941,118,0,0.7761,0.5398,0.8193,2014,8
,-82.5720424,37.66639842,119,0,0.7827,0.5811,0.8851,2014,8
,-82.51846057,37.79290616,120,0,0.849,0.7173,1.1661,2014,8
,-82.49365551,37.76685898,121,0,0.8474,0.7147,1.2179,2014,8
,-82.60337836,37.7826601,122,0,0.8151,0.5663,0.8671,2014,8
,-82.63241444,37.73201995,123,1,0.3522,0.1871,0.2939,2014,8
,-82.53640625,37.72528365,124,0,0.7993,0.5597,0.846,2014,8
,-82.59218965,37.77843198,125,0,0.6252,0.413,0.637,2014,8
,-82.58239205,37.78130716,126,0,0.84,0.6488,0.9971,2014,8
,-82.52288047,37.66479459,127,0,0.8225,0.6458,1.0582,2014,8
,-82.54100827,37.67894751,128,0,0.8481,0.7123,1.1948,2014,8
,-82.59822075,37.72519017,129,0,0.7389,0.5176,0.792,2014,8
,-82.55133433,37.78717672,130,0,0.8209,0.6143,0.95,2014,8
,-82.46568007,37.74418495,131,0,0.6771,0.3177,0.489,2014,8
,-82.60538187,37.76126383,132,0,0.7689,0.4454,0.6802,2014,8
,-82.4885442,37.71278114,133,0,0.8393,0.6503,1.0684,2014,8
,-82.57450229,37.76220314,134,0,0.8192,0.5896,0.9031,2014,8
,-82.47387429,37.70217364,135,0,0.8645,0.7256,1.1972,2014,8
,-82.53972095,37.67989714,136,0,0.8323,0.6896,1.1428,2014,8
,-82.50165828,37.68193352,137,0,0.847,0.7314,1.1942,2014,8
,-82.6073448,37.71177638,138,0,0.8088,0.6196,1.0507,2014,8
,-82.60899779,37.75724971,139,0,0.5454,0.355,0.5184,2014,8
,-82.54717796,37.72890627,140,0,0.8269,0.6771,1.1557,2014,8
,-82.51918074,37.74106262,141,0,0.7761,0.5473,0.8551,2014,8
,-82.65093269,37.73819496,142,0,0.744,0.5245,0.8143,2014,8
,-82.58590261,37.72005824,143,0,0.7807,0.5589,0.846,2014,8
,-82.57778745,37.81060577,144,0,0.8339,0.6556,1.0461,2014,8
,-82.50774316,37.73710639,145,0,0.5044,0.3304,0.4929,2014,8
,-82.52137649,37.70214062,146,0,0.8309,0.679,1.0982,2014,8
,-82.54410369,37.72934914,147,0,0.8216,0.6496,1.0958,2014,8
,-82.59050792,37.71598065,148,0,0.8314,0.6457,1.05,2014,8
,-82.51116809,37.72827646,149,0,0.8127,0.5595,0.8539,2014,8
,-82.55046774,37.78585582,150,0,0.8218,0.6132,0.9421,2014,8
,-82.52169797,37.73402411,151,0,0.7362,0.5657,0.8924,2014,8
,-82.56907321,37.75720705,152,0,0.8255,0.6627,1.0769,2014,8
,-82.61457942,37.78991641,153,0,0.8394,0.6588,1.0497,2014,8
,-82.55626264,37.66766303,154,0,0.8375,0.6927,1.1308,2014,8
,-82.60227953,37.70629403,155,0,0.8172,0.6645,1.1237,2014,8
,-82.5427907,37.79986733,156,0,0.8528,0.713,1.1509,2014,8
,-82.62178679,37.68269981,157,0,0.8445,0.702,1.157,2014,8
,-82.62689537,37.68781133,158,0,0.8262,0.5815,0.8906,2014,8
,-82.64955938,37.71701217,159,0,0.8411,0.6317,0.9731,2014,8
